"id","fecha","hora","temperatura","humedad","intensidad_luz","humedad_suelo"
"393","2024-01-29","01:32:35","17.50","64.60","21.67","11.59"
"394","2024-01-29","01:32:39","17.50","64.60","21.67","13.53"
"395","2024-01-29","01:32:43","17.50","64.70","21.67","12.38"
"396","2024-01-29","01:32:47","17.50","64.70","21.67","11.10"
"397","2024-01-29","01:32:51","17.50","64.70","20.83","10.86"
"398","2024-01-29","01:32:56","17.50","64.70","20.83","12.44"
"399","2024-01-29","01:33:00","17.50","64.70","21.67","13.83"
"400","2024-01-29","01:33:05","17.50","64.70","20.83","11.53"
"401","2024-01-29","01:33:09","17.50","64.70","20.83","11.10"
"402","2024-01-29","01:33:13","17.50","64.70","20.83","11.95"
"403","2024-01-29","01:33:17","17.50","64.70","20.83","10.98"
"404","2024-01-29","01:33:21","17.50","64.70","20.83","11.41"
"405","2024-01-29","01:33:25","17.50","64.70","20.83","10.19"
"406","2024-01-29","01:33:30","17.50","64.70","20.83","11.95"
"407","2024-01-29","01:33:34","17.50","64.70","20.83","9.95"
"408","2024-01-29","01:33:39","17.50","64.70","20.83","10.31"
"409","2024-01-29","01:33:43","17.50","64.70","20.83","10.74"
"410","2024-01-29","01:33:47","17.50","64.70","21.67","11.89"
"411","2024-01-29","01:33:51","17.50","64.70","20.83","10.92"
"412","2024-01-29","01:33:55","17.50","64.70","20.83","10.50"
"413","2024-01-29","01:34:00","17.50","64.60","20.83","10.50"
"414","2024-01-29","01:34:04","17.50","64.60","20.83","11.53"
"415","2024-01-29","01:34:08","17.50","64.70","20.83","10.92"
"416","2024-01-29","01:34:12","17.50","64.70","20.83","10.98"
"417","2024-01-29","01:34:16","17.50","64.70","20.83","11.04"
"418","2024-01-29","01:34:21","17.50","64.70","20.83","12.19"
